Serial Number:21116236 --

"Date Time, GMT -0700","Temp, (*C)","Intensity, ( lux)","Host Connect","Button Down","Button Up","Stopped","EOF"
2021-08-16 13:32:42,13.81,"1,399", , , , , 
2021-08-16 13:32:47,13.81,"1,116", , , , , 
2021-08-16 13:32:52,13.90,868, , , , , 
2021-08-16 13:32:56, , ,Logged, , , , 
2021-08-16 13:32:57,13.85,854, , , , , 
2021-08-16 13:33:02,13.85,849, , , , , 
2021-08-16 13:33:07,13.77,842, , , , , 
2021-08-16 13:33:12,13.68,834, , , , , 
2021-08-16 13:33:17,13.51,852, , , , , 
2021-08-16 13:33:22,13.51,836, , , , , 
2021-08-16 13:33:27,13.47,841, , , , , 
2021-08-16 13:33:32,13.38,757, , , , , 
2021-08-16 13:33:37,13.30,859, , , , , 
2021-08-16 13:33:42,13.25,866, , , , , 
2021-08-16 13:33:47,13.17,850, , , , , 
2021-08-16 13:33:52,13.17,838, , , , , 
2021-08-16 13:33:57,13.08,845, , , , , 
2021-08-16 13:34:02,13.08,852, , , , , 
2021-08-16 13:34:07,13.04,863, , , , , 
2021-08-16 13:34:12,13.00,943, , , , , 
2021-08-16 13:34:17,12.95,927, , , , , 
2021-08-16 13:34:22,12.87,894, , , , , 
2021-08-16 13:34:27,12.91,911, , , , , 
2021-08-16 13:34:32,12.87,906, , , , , 
2021-08-16 13:34:37,12.82,920, , , , , 
2021-08-16 13:34:42,12.82,927, , , , , 
2021-08-16 13:34:47,12.78,932, , , , , 
2021-08-16 13:34:52,12.74,928, , , , , 
2021-08-16 13:34:57,12.74,905, , , , , 
2021-08-16 13:35:02,12.70,908, , , , , 
2021-08-16 13:35:07,12.70,869, , , , , 
2021-08-16 13:35:12,12.65,893, , , , , 
2021-08-16 13:35:17,12.65,872, , , , , 
2021-08-16 13:35:22,12.70,875, , , , , 
2021-08-16 13:35:27,12.61,924, , , , , 
2021-08-16 13:35:32,12.65,929, , , , , 
2021-08-16 13:35:37,12.70,929, , , , , 
2021-08-16 13:35:42,12.61,908, , , , , 
2021-08-16 13:35:47,12.61,915, , , , , 
2021-08-16 13:35:52,12.57,929, , , , , 
2021-08-16 13:35:57,12.57,926, , , , , 
2021-08-16 13:36:02,12.57,932, , , , , 
2021-08-16 13:36:07,12.57,930, , , , , 
2021-08-16 13:36:12,12.57,933, , , , , 
2021-08-16 13:36:17,12.57,937, , , , , 
2021-08-16 13:36:22,12.48,937, , , , , 
2021-08-16 13:36:27,12.48,938, , , , , 
2021-08-16 13:36:32,12.52,941, , , , , 
2021-08-16 13:36:37,12.52,941, , , , , 
2021-08-16 13:36:42,12.44,942, , , , , 
2021-08-16 13:36:47,12.48,943, , , , , 
2021-08-16 13:36:52,12.52,946, , , , , 
2021-08-16 13:36:57,12.48,950, , , , , 
2021-08-16 13:37:02,12.44,953, , , , , 
2021-08-16 13:37:07,12.44,953, , , , , 
2021-08-16 13:37:12,12.44,953, , , , , 
2021-08-16 13:37:17,12.48,957, , , , , 
2021-08-16 13:37:22,12.48,945, , , , , 
2021-08-16 13:37:27,12.44,957, , , , , 
2021-08-16 13:37:32,12.40,961, , , , , 
2021-08-16 13:37:37,12.48,969, , , , , 
2021-08-16 13:37:42,12.44,969, , , , , 
2021-08-16 13:37:47,12.44,970, , , , , 
2021-08-16 13:37:52,12.40,980, , , , , 
2021-08-16 13:37:57,12.44,962, , , , , 
2021-08-16 13:38:02,12.40,972, , , , , 
2021-08-16 13:38:07,12.40,985, , , , , 
2021-08-16 13:38:12,12.40,991, , , , , 
2021-08-16 13:38:17,12.35,996, , , , , 
2021-08-16 13:38:22,12.40,"1,001", , , , , 
2021-08-16 13:38:27,12.35,"1,005", , , , , 
2021-08-16 13:38:32,12.35,"1,007", , , , , 
2021-08-16 13:38:37,12.35,"1,013", , , , , 
2021-08-16 13:38:42,12.35,"1,016", , , , , 
2021-08-16 13:38:47,12.35,"1,021", , , , , 
2021-08-16 13:38:52,12.40,"1,025", , , , , 
2021-08-16 13:38:57,12.35,"1,027", , , , , 
2021-08-16 13:39:02,12.40,"1,032", , , , , 
2021-08-16 13:39:07,12.35,"1,028", , , , , 
2021-08-16 13:39:12,12.35,"1,029", , , , , 
