Serial Number:20921469 --

"Date Time, GMT -0700","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2021-08-18 12:53:54,20.55,"5,737", , , , , 
2021-08-18 12:53:59,20.68,"2,868", , , , , 
2021-08-18 12:54:04,20.76,"4,518", , , , , 
2021-08-18 12:54:09,20.68,"4,558", , , , , 
2021-08-18 12:54:14,20.68,"4,620", , , , , 
2021-08-18 12:54:19,20.59,"4,535", , , , , 
2021-08-18 12:54:24,20.55,"4,541", , , , , 
2021-08-18 12:54:29,20.55,"4,381", , , , , 
2021-08-18 12:54:34,20.50,"4,381", , , , , 
2021-08-18 12:54:39,20.46,"4,388", , , , , 
2021-08-18 12:54:44,20.46,"4,392", , , , , 
2021-08-18 12:54:49,20.37,"4,447", , , , , 
2021-08-18 12:54:54,20.42,"4,480", , , , , 
2021-08-18 12:54:59,20.33,"4,495", , , , , 
2021-08-18 12:55:04,20.33,"4,539", , , , , 
2021-08-18 12:55:09,20.29,"4,561", , , , , 
2021-08-18 12:55:14,20.25,"4,545", , , , , 
2021-08-18 12:55:19,20.29,"4,453", , , , , 
2021-08-18 12:55:24,20.25,"4,392", , , , , 
2021-08-18 12:55:29,20.25,"4,287", , , , , 
2021-08-18 12:55:34,20.20,"4,408", , , , , 
2021-08-18 12:55:39,20.20,"4,499", , , , , 
2021-08-18 12:55:44,20.25,"4,486", , , , , 
2021-08-18 12:55:49,20.25,"4,402", , , , , 
2021-08-18 12:55:54,20.25,"4,408", , , , , 
2021-08-18 12:55:59,20.29,"4,480", , , , , 
2021-08-18 12:56:04,20.20,"4,476", , , , , 
2021-08-18 12:56:09,20.20,"4,434", , , , , 
2021-08-18 12:56:14,20.16,"4,451", , , , , 
2021-08-18 12:56:19,20.20,"4,434", , , , , 
2021-08-18 12:56:24,20.20,"4,486", , , , , 
2021-08-18 12:56:29,20.16,"4,463", , , , , 
2021-08-18 12:56:34,20.16,"4,434", , , , , 
2021-08-18 12:56:39,20.16,"4,483", , , , , 
2021-08-18 12:56:44,20.20,"4,539", , , , , 
2021-08-18 12:56:49,20.16,"4,525", , , , , 
2021-08-18 12:56:54,20.16,"4,509", , , , , 
2021-08-18 12:56:59,20.20,"4,561", , , , , 
2021-08-18 12:57:04,20.16,"4,535", , , , , 
2021-08-18 12:57:09,20.16,"4,529", , , , , 
2021-08-18 12:57:14,20.16,"4,512", , , , , 
2021-08-18 12:57:19,20.20,"4,564", , , , , 
2021-08-18 12:57:24,20.16,"4,596", , , , , 
2021-08-18 12:57:29,20.16,"4,636", , , , , 
2021-08-18 12:57:34,20.12,"4,577", , , , , 
2021-08-18 12:57:39,20.25,"4,676", , , , , 
2021-08-18 12:57:44,20.16,"4,676", , , , , 
2021-08-18 12:57:49,20.20,"4,698", , , , , 
2021-08-18 12:57:54,20.16,"4,672", , , , , 
2021-08-18 12:57:59,20.16,"4,689", , , , , 
2021-08-18 12:58:04,20.12,"4,763", , , , , 
2021-08-18 12:58:09,20.20,"4,685", , , , , 
2021-08-18 12:58:14,20.20,"4,756", , , , , 
2021-08-18 12:58:19,20.25,"4,786", , , , , 
2021-08-18 12:58:24,20.20,"4,783", , , , , 
2021-08-18 12:58:29,20.20,"4,701", , , , , 
2021-08-18 12:58:34,20.16,"4,731", , , , , 
2021-08-18 12:58:39,20.16,"4,698", , , , , 
2021-08-18 12:58:44,20.20,"4,767", , , , , 
2021-08-18 12:58:49,20.16,"4,780", , , , , 
2021-08-18 12:58:54,20.16,"4,741", , , , , 
2021-08-18 12:58:59,20.16,"4,714", , , , , 
2021-08-18 12:59:04,20.20,"4,744", , , , , 
2021-08-18 12:59:09,20.12,"4,718", , , , , 
2021-08-18 12:59:14,20.16,"4,777", , , , , 
2021-08-18 12:59:19,20.16,"4,705", , , , , 
2021-08-18 12:59:24,20.16,"4,750", , , , , 
2021-08-18 12:59:29,20.12,"4,769", , , , , 
2021-08-18 12:59:34,20.16,"4,750", , , , , 
2021-08-18 12:59:39,20.16,"4,767", , , , , 
2021-08-18 12:59:44,20.16,"4,826", , , , , 
2021-08-18 12:59:49,20.16,"4,769", , , , , 
2021-08-18 12:59:54,20.12,"4,777", , , , , 
2021-08-18 12:59:59,20.16,"4,767", , , , , 
2021-08-18 13:00:04,20.12,"4,748", , , , , 
2021-08-18 13:00:09,20.12,"4,754", , , , , 
2021-08-18 13:00:14,20.20,"4,773", , , , , 
2021-08-18 13:00:19,20.16,"4,819", , , , , 
2021-08-18 13:00:24,20.16,"4,799", , , , , 
2021-08-18 13:00:29,20.16,"4,809", , , , , 
2021-08-18 13:00:34,20.12,"4,819", , , , , 
2021-08-18 13:00:39,20.16,"4,756", , , , , 
2021-08-18 13:00:44,20.20,"4,744", , , , , 
2021-08-18 13:00:49,20.16,"4,790", , , , , 
2021-08-18 13:00:54,20.16,"4,721", , , , , 
2021-08-18 13:00:59,20.12,"4,689", , , , , 
2021-08-18 13:01:04,20.12,"4,750", , , , , 
2021-08-18 13:01:09,20.16,"4,780", , , , , 
2021-08-18 13:01:14,20.12,"4,796", , , , , 
2021-08-18 13:01:19,20.16,"4,792", , , , , 
2021-08-18 13:01:24,20.12,"4,851", , , , , 
2021-08-18 13:01:29,20.16,"4,878", , , , , 
2021-08-18 13:01:34,20.16,"4,666", , , , , 
2021-08-18 13:01:39,20.07,"4,881", , , , , 
2021-08-18 13:01:44,20.12,"4,756", , , , , 
2021-08-18 13:01:49,20.07,"4,777", , , , , 
2021-08-18 13:01:54,20.12,"4,803", , , , , 
2021-08-18 13:01:59,20.16,"4,849", , , , , 
2021-08-18 13:02:04,20.12,"4,815", , , , , 
2021-08-18 13:02:09,20.16,"4,790", , , , , 
2021-08-18 13:02:14,20.12,"4,769", , , , , 
2021-08-18 13:02:19,20.12,"4,828", , , , , 
2021-08-18 13:02:24,20.12,"4,861", , , , , 
2021-08-18 13:02:29,20.12,"4,835", , , , , 
2021-08-18 13:02:34,20.12,"4,822", , , , , 
2021-08-18 13:02:39,20.12,"4,842", , , , , 
2021-08-18 13:02:44,20.12,"4,910", , , , , 
2021-08-18 13:02:49,20.07,"4,897", , , , , 
