mass_A
t,x,y,v,a,L
0.000000000E0,8.333333333E-1,-8.333333333E-1,�,�,0.000000000E0
3.333333333E0,2.763330279E0,-2.643178384E0,9.675531889E-2,�,2.645832065E0
6.666666667E0,5.957551619E-1,-2.336439503E-1,8.332790265E-1,4.092175941E-2,5.886856298E0
1.000000000E1,-8.508466851E-1,1.575577334E0,2.685452265E-1,1.703742377E-1,8.203305857E0
1.333333333E1,2.280160170E0,3.729525090E-1,6.074115070E-1,1.167153099E-2,1.155733484E1
1.666666667E1,2.884450673E0,1.183970471E-2,2.198816188E-1,5.658070609E-2,1.226130179E1
2.000000000E1,3.120543930E0,1.574015313E0,2.419597479E-1,4.193168477E-2,1.384121718E1
2.333333333E1,4.456811189E0,3.719244973E-1,1.496921962E-1,5.573476709E-2,1.563861322E1
2.666666667E1,3.355788874E0,2.543840028E0,4.243040522E-1,3.276062284E-2,1.807366296E1
3.000000000E1,2.646768728E0,2.545689487E0,2.072241958E-1,8.593798897E-2,1.878268551E1
3.333333333E1,4.208140913E0,3.631049041E0,2.377556011E-1,2.144670858E-2,2.068423448E1
3.666666667E1,4.213967727E0,2.782819557E0,1.163886775E-1,2.580589584E-2,2.153248397E1
4.000000000E1,4.693201005E0,3.025429058E0,1.461890494E-1,7.285188331E-2,2.206962819E1
4.333333333E1,5.059574643E0,3.267362385E0,3.265403184E-1,4.283684369E-2,2.250867417E1
4.666666667E1,4.573784722E0,5.199086743E0,3.836297065E-1,5.425658633E-2,2.450054536E1
5.000000000E1,4.214544524E0,5.681257751E0,1.846608657E-1,4.475098222E-2,2.510182932E1
5.333333333E1,5.781026918E0,4.958035653E0,1.713519688E-1,3.261142501E-2,2.682720386E1
5.666666667E1,5.297644370E0,6.044369519E0,2.924841749E-1,4.037426681E-2,2.801622865E1
6.000000000E1,6.504236440E0,6.768852194E0,6.492999696E-2,1.828299375E-2,2.942361615E1
6.333333333E1,5.656749332E0,6.286065940E0,1.542779136E-1,1.938860024E-2,3.039897094E1
6.666666667E1,6.867838542E0,7.730957031E0,1.670516077E-1,1.753423853E-2,3.228429514E1
