mass_A
t,x,y,v,a,L
0.000000000E0,-5.500000000E0,1.000000000E0,�,�,0.000000000E0
3.333333333E0,-6.361790563E0,4.186806263E-1,2.457218192E-1,�,1.039526426E0
6.666666667E0,-6.805260570E0,1.014374944E-2,2.545335079E-1,3.323870766E-2,1.642492450E0
1.000000000E1,-7.820700056E0,-4.479328650E-1,2.405827838E-1,2.286029218E-2,2.756472492E0
1.333333333E1,-8.384880233E0,2.880817581E-1,2.611345472E-1,3.743816806E-2,3.683843398E0
1.666666667E1,-9.122439840E0,-1.603872239E0,4.296586540E-1,1.391694694E-2,5.714479777E0
2.000000000E1,-9.827363407E0,-2.186585542E0,2.316798874E-1,3.132928745E-2,6.629068225E0
2.333333333E1,-1.027661767E1,-2.630251526E0,2.284400929E-1,7.262293921E-3,7.260470550E0
2.666666667E1,-1.057562020E1,-3.513024233E0,2.473250149E-1,1.489946780E-2,8.192506045E0
3.000000000E1,-1.112747566E1,-4.042587310E0,2.929111813E-1,1.496231292E-2,8.957346881E0
3.333333333E1,-1.199855051E1,-4.850360223E0,2.549437349E-1,1.282539596E-2,1.014531509E1
3.666666667E1,-1.245382994E1,-5.105370970E0,1.684548445E-1,1.310002844E-2,1.066714825E1
4.000000000E1,-1.289346812E1,-5.528832040E0,2.450488685E-1,1.706386539E-2,1.127755877E1
4.333333333E1,-1.332149971E1,-6.489564352E0,2.905039497E-1,7.915804097E-3,1.232932758E1
4.666666667E1,-1.404678776E1,-7.084670583E0,2.221242998E-1,1.745096866E-2,1.326751423E1
5.000000000E1,-1.447659580E1,-7.416174605E0,1.867023261E-1,9.495710126E-3,1.381031240E1
5.333333333E1,-1.504355462E1,-7.830116463E0,1.840422302E-1,1.119798319E-2,1.451230255E1
5.666666667E1,-1.534512505E1,-8.282811100E0,1.503915852E-1,1.371323109E-2,1.505624847E1
6.000000000E1,-1.549252498E1,-8.726583733E0,1.119667816E-1,1.115170025E-2,1.552386037E1
6.333333333E1,-1.563215984E1,-8.971862250E0,7.267536176E-2,1.678181595E-2,1.580610042E1
6.666666667E1,-1.576976663E1,-9.123924461E0,2.182648194E-2,1.797521865E-2,1.601118222E1
7.000000000E1,-1.577757882E1,-8.977004635E0,7.132832428E-2,1.391036738E-2,1.615830959E1
7.333333333E1,-1.592645064E1,-8.674957373E0,1.072547130E-1,6.592446630E-3,1.649505188E1
7.666666667E1,-1.621395157E1,-8.410569506E0,7.775272621E-2,1.495039015E-2,1.688563827E1
8.000000000E1,-1.636152928E1,-8.393186426E0,4.752306834E-2,2.053510912E-2,1.703423622E1
8.333333333E1,-1.650146081E1,-8.543662094E0,1.296399977E-1,5.225359335E-2,1.723972043E1
8.666666667E1,-1.635269401E1,-7.528964937E0,3.427589353E-1,4.247386278E-2,1.826526511E1
9.000000000E1,-1.519869373E1,-6.666351471E0,1.110496858E-1,2.762458881E-2,1.970603526E1
9.333333333E1,-1.650435829E1,-8.253594698E0,7.862855344E-2,1.234279735E-2,2.176129704E1
9.666666667E1,-1.563183205E1,-6.961591593E0,2.032345425E-1,2.980130128E-2,2.332032689E1
1.000000000E2,-1.578008489E1,-7.108529726E0,3.499235887E-2,8.158629832E-2,2.352906049E1
1.033333333E2,-1.574996653E1,-7.162750534E0,2.604009866E-1,1.900824450E-2,2.359108477E1
1.066666667E2,-1.692593613E1,-8.412655399E0,2.708542755E-1,2.615567686E-2,2.530723356E1
1.100000000E2,-1.707087456E1,-8.393903250E0,1.946326096E-2,4.533418510E-2,2.545338004E1
1.133333333E2,-1.679633456E1,-8.406345713E0,2.020645875E-2,1.966890236E-3,2.572820186E1
1.166666667E2,-1.693616629E1,-8.393277832E0,7.366454084E-4,3.085647230E-3,2.586864289E1
1.200000000E2,-1.679888798E1,-8.402150755E0,2.302779979E-2,5.452160278E-3,2.600620765E1
1.233333333E2,-1.678288734E1,-8.401853688E0,2.228754101E-2,9.039707812E-3,2.602221104E1
1.266666667E2,-1.665545652E1,-8.440938715E0,2.153698792E-2,3.520581134E-3,2.615550115E1
1.300000000E2,-1.692529619E1,-8.420154304E0,2.757108255E-2,2.210151780E-3,2.642614010E1
1.333333333E2,-1.680225429E1,-8.551552950E0,2.342529256E-2,7.439282221E-3,2.660615376E1
1.366666667E2,-1.693113589E1,-8.576213699E0,2.040379634E-2,4.064036164E-3,2.673737349E1
1.400000000E2,-1.679660800E1,-8.687461023E0,5.469819800E-2,4.130131036E-4,2.691194073E1
1.433333333E2,-1.665092654E1,-8.809571236E0,2.255826825E-2,1.131801381E-2,2.710203016E1
1.466666667E2,-1.679866449E1,-8.837835416E0,4.235542555E-2,3.668529989E-3,2.725244746E1
1.500000000E2,-1.693101104E1,-8.845421029E0,2.828648362E-2,7.456073430E-3,2.738501123E1
1.533333333E2,-1.665199120E1,-8.956359944E0,4.733709082E-2,9.623874473E-3,2.768527697E1
1.566666667E2,-1.679115696E1,-9.128320223E0,7.213494834E-2,1.914414002E-2,2.790649508E1
1.600000000E2,-1.650125351E1,-9.413024622E0,1.852058060E-1,1.339006679E-2,2.831282082E1
