year,topic,sub_topic,count,urchins
2021,other,aquaculture,1,no
2021,disease,disease,1,no
2021,otters,otters,1,no
2020,disease,disease,1,no
2019,disease,disease,1,no
2018,chem ecol,chem ecol,1,no
2018,pop ecol,pop ecol,1,no
2018,disease,disease,1,no
2018,physiology,physiology,1,no
2017,other,biogeography,1,no
2017,trophic ecol w/ urchin,trophic ecol,1,yes
2016,otters,otters,1,no
2016,otters,otters,1,no
2016,disease,disease,1,no
2016,pop ecol,pop ecol,1,no
2015,disease,disease,1,no
2015,disease,disease,1,no
2014,physiology,physiology,1,no
2013,other,invasives,1,no
2012,physiology,physiology,1,no
2011,trophic ecol,trophic ecol,1,no
2010,trophic ecol,trophic ecol,1,no
2008,trophic ecol,trophic ecol,1,no
2007,trophic ecol w/ urchin,trophic ecol,1,yes
2007,trophic ecol,trophic ecol,1,no
2007,trophic ecol,trophic ecol,1,no
2007,other,other,1,no
2007,trophic ecol,trophic ecol,1,no
2006,trophic ecol w/ urchin,trophic ecol,1,yes
2005,trophic ecol,trophic ecol,1,no
2005,other,other,1,no
2002,other,other,1,no
2002,trophic ecol,trophic ecol,1,no
2001,other,other,1,no
2000,physiology,physiology,1,no
2000,other,other,1,no
2000,trophic ecol,trophic ecol,1,no
1999,trophic ecol,trophic ecol,1,no
1998,other,other,1,no
1997,trophic ecol,trophic ecol,1,no
1997,trophic ecol,trophic ecol,1,no
1996,other,other,1,no
1995,physiology,physiology,1,no
1995,physiology,physiology,1,no
1994,physiology,physiology,1,no
1993,other,other,1,no
1993,other,other,1,no
1992,physiology,physiology,1,no
1992,physiology,physiology,1,no
1992,otters,otters,1,no
1992,other,other,1,no
1991,physiology,physiology,1,no
1991,physiology,physiology,1,no
1991,physiology,physiology,1,no
1991,chem ecol,chem ecol,1,no
1990,chem ecol,chem ecol,1,no
1989,physiology,physiology,1,no
1989,physiology,physiology,1,no
1989,physiology,physiology,1,no
1988,physiology,physiology,1,no
1983,trophic ecol,trophic ecol,1,no
1980,physiology,physiology,1,no
1980,physiology,physiology,1,no
1979,trophic ecol,trophic ecol,1,no
1977,physiology,physiology,1,no
