mass_A
t,x,y,v,a,L
0.000000000E0,-1.254355401E0,0.000000000E0,�,�,0.000000000E0
3.333333333E0,-1.176055691E0,-4.855398942E-2,4.363299852E-2,�,9.213215720E-2
6.666666667E0,-9.823240639E-1,1.030242637E-1,1.463777236E-2,6.408837387E-3,3.381157141E-1
1.000000000E1,-1.155637810E0,4.687122448E-2,2.450524241E-2,7.344034896E-3,5.202991888E-1
1.333333333E1,-1.138653488E0,5.558686471E-2,1.702433264E-2,6.354310615E-3,5.393892273E-1
1.666666667E1,-1.224398780E0,-4.342367605E-2,2.484629589E-3,2.156829053E-3,6.703676312E-1
2.000000000E1,-1.122388591E0,5.872146608E-2,1.618724455E-2,7.138566451E-4,8.147272824E-1
2.333333333E1,-1.149934914E0,3.468376278E-2,1.571619825E-2,1.573608361E-1,8.512869751E-1
2.666666667E1,-1.186010417E0,-2.452510429E-2,9.182615046E-1,6.500382148E-2,9.206204581E-1
3.000000000E1,2.988389129E0,-4.476415430E0,8.379589306E-1,8.556352317E-2,7.023483643E0
3.333333333E1,2.633742310E0,-4.100954229E0,7.729194330E-2,1.502210640E-1,7.539957728E0
3.666666667E1,2.630234613E0,-4.105958373E0,2.272240725E-3,1.331305051E-2,7.546068816E0
4.000000000E1,2.625242792E0,-4.113493300E0,2.185768626E-3,1.201191140E-4,7.555107256E0
4.333333333E1,2.621802382E0,-4.117842589E0,1.322932518E-3,3.233032509E-4,7.560652771E0
4.666666667E1,2.619559391E0,-4.120237440E0,3.898111422E-3,5.108609491E-5,7.563933978E0
5.000000000E1,2.605978576E0,-4.138456968E0,2.548139055E-3,2.277102922E-4,7.586658188E0
5.333333333E1,2.610121181E0,-4.134361835E0,7.360123854E-4,4.564637476E-4,7.592483245E0
5.666666667E1,2.606590319E0,-4.143325434E0,1.246198930E-3,3.588124518E-4,7.602117200E0
6.000000000E1,2.609584542E0,-4.142652478E0,1.810101047E-3,7.140945153E-5,7.605186115E0
6.333333333E1,2.602047815E0,-4.154505164E0,2.179439075E-3,1.140016289E-3,7.619232054E0
6.666666667E1,2.606537707E0,-4.156859022E0,5.977239077E-3,8.034916238E-4,7.624301549E0
7.000000000E1,2.626392400E0,-4.122957976E0,5.553173488E-3,9.620114425E-4,7.663588822E0
7.333333333E1,2.640426367E0,-4.141955173E0,4.054377691E-3,1.752951253E-3,7.687207579E0
7.666666667E1,2.628517700E0,-4.149903475E0,6.035056901E-3,7.393608931E-4,7.701525116E0
8.000000000E1,2.603075536E0,-4.156910676E0,6.214599078E-3,1.797002882E-3,7.727914594E0
8.333333333E1,2.595184234E0,-4.174507939E0,5.331822326E-3,3.119963553E-4,7.747200245E0
8.666666667E1,2.636615318E0,-4.145139341E0,6.272516392E-4,7.702874514E-4,7.797984586E0
9.000000000E1,2.598572058E0,-4.176959280E0,5.633705396E-3,7.182511588E-4,7.847580939E0
9.333333333E1,2.601160652E0,-4.157531788E0,8.643511382E-4,1.546725459E-3,7.867180129E0
9.666666667E1,2.603936423E0,-4.174854960E0,3.712194187E-3,4.443520991E-4,7.884724280E0
