mass_A
t,x,y,v,a,L
0.000000000E0,3.571428571E-1,0.000000000E0,�,�,0.000000000E0
3.333333333E0,-1.520862845E-1,5.302130940E-1,2.102261678E-1,�,7.351464098E-1
6.666666667E0,-6.766818396E-1,9.462719319E-1,1.573734354E-1,3.090919087E-2,1.404702571E0
1.000000000E1,-9.736481553E-1,1.182719722E0,1.153825627E-2,5.722730639E-3,1.784303085E0
1.333333333E1,-6.818701690E-1,1.023018466E0,1.349352087E-1,4.872123694E-3,2.116927324E0
1.666666667E1,-1.717287454E0,1.688904752E0,1.527227263E-1,7.291275786E-3,3.347981141E0
2.000000000E1,-1.498841396E0,1.630628956E0,7.034610683E-2,1.089003930E-2,3.574066852E0
2.333333333E1,-2.015642339E0,2.050734847E0,1.549122918E-1,1.467878972E-2,4.240078994E0
2.666666667E1,-2.334196830E0,2.237877665E0,1.287891981E-1,3.114910422E-3,4.609537243E0
3.000000000E1,-2.749254449E0,2.496826825E0,1.467716848E-1,3.181529314E-3,5.098748337E0
3.333333333E1,-3.146873431E0,2.782832471E0,1.396728506E-1,4.288360159E-3,5.588544300E0
3.666666667E1,-3.475033618E0,3.080170011E0,1.190354093E-1,8.261948569E-2,6.031374652E0
4.000000000E1,-3.767976159E0,3.276779621E0,5.937341693E-1,4.049111032E-2,6.384178664E0
4.333333333E1,-7.396174994E0,3.620741554E0,5.896099055E-1,4.711054802E-2,1.002864524E1
4.666666667E1,-7.606431598E0,4.123490570E0,1.456795024E-1,8.811941755E-2,1.057358965E1
5.000000000E1,-7.795579383E0,4.506009383E0,1.498045457E-1,6.083342761E-3,1.100031852E1
5.333333333E1,-8.009820827E0,5.037094844E0,1.696410104E-1,7.859573880E-3,1.157298872E1
5.666666667E1,-8.023170089E0,5.613812575E0,1.764688682E-1,4.802581990E-3,1.214986093E1
6.000000000E1,-8.117449939E0,6.208620362E0,1.448861737E-1,9.130307353E-3,1.275209427E1
6.333333333E1,-8.213706703E0,6.560741149E0,1.110206681E-1,5.365008735E-3,1.311713456E1
6.666666667E1,-8.327154858E0,6.918428640E0,1.152305241E-1,6.423933691E-3,1.349238224E1
7.000000000E1,-8.326166720E0,7.320668351E0,1.119644685E-1,5.126712021E-3,1.389462317E1
7.333333333E1,-8.229949761E0,7.658502015E0,1.275939023E-1,1.276754126E-3,1.424589128E1
7.666666667E1,-8.229897873E0,8.165829239E0,1.244605896E-1,3.111203144E-3,1.475321851E1
8.000000000E1,-8.230234677E0,8.488239230E0,9.605777185E-2,6.409401109E-3,1.507562867E1
8.333333333E1,-8.126279315E0,8.797775700E0,1.537492358E-1,1.059330380E-2,1.540215516E1
8.666666667E1,-8.331489151E0,9.508220645E0,1.867874086E-1,1.439450112E-3,1.614164356E1
9.000000000E1,-8.231039032E0,1.003861068E1,1.359348416E-1,2.044284441E-2,1.668146187E1
9.333333333E1,-8.330617369E0,1.041445250E1,5.973409697E-2,1.593724008E-2,1.707027150E1
9.666666667E1,-8.221105995E0,1.043671409E1,4.339639678E-2,6.497075689E-2,1.718202265E1
1.000000000E2,-8.542470240E0,1.061147595E1,3.058397062E-1,2.436678566E-2,1.754783228E1
1.033333333E2,-6.777632167E0,8.996705600E0,3.049278954E-1,3.764893178E-2,1.993993108E1
1.066666667E2,-6.980301815E0,9.310660956E0,1.280830379E-1,6.820274912E-2,2.031361939E1
1.100000000E2,-6.982536815E0,9.825642845E0,1.307042145E-1,1.147812910E-2,2.082860613E1
1.133333333E2,-6.974162185E0,1.018200076E1,5.392950782E-2,1.700747332E-2,2.118506243E1
1.166666667E2,-6.965869056E0,1.018478633E1,5.147878618E-3,9.948929778E-3,2.119381089E1
1.200000000E2,-6.982431719E0,1.021530874E1,1.244397696E-2,9.520327718E-3,2.122853752E1
1.233333333E2,-6.883115073E0,1.017894559E1,6.280966530E-2,5.821139595E-3,2.133430176E1
1.266666667E2,-6.572671258E0,1.012909910E1,6.224284795E-2,1.847030623E-1,2.164872192E1
1.300000000E2,-6.470128968E0,1.013859828E1,1.078186986E0,9.213029486E-2,2.175170325E1
1.333333333E2,-5.000000000E0,1.714285714E1,1.075893208E0,9.532739291E-2,2.890858256E1
1.366666667E2,-5.000273861E0,1.715899880E1,9.349857459E-2,1.837948517E-1,2.892472654E1
1.400000000E2,-5.613824152E0,1.725126613E1,9.210655406E-4,3.843307773E-2,2.954517575E1
1.433333333E2,-4.998518907E0,1.716488311E1,2.247160008E-1,5.083183082E-2,3.016651509E1
1.466666667E2,-7.075315127E0,1.758045867E1,5.004405353E-1,7.891137181E-2,3.228448241E1
1.500000000E2,-8.206985961E0,1.807945309E1,3.029658514E-1,9.822173601E-2,3.352128244E1
1.533333333E2,-5.101945153E0,1.715000396E1,4.077329347E-1,1.748095339E-2,3.676244799E1
1.566666667E2,-5.621461122E0,1.724053778E1,7.916358720E-2,7.159403908E-2,3.728979343E1
1.600000000E2,-5.620399548E0,1.724865867E1,3.119746502E-2,1.617161164E-2,3.729798342E1
1.633333333E2,-5.413721038E0,1.725058904E1,3.113887276E-2,8.231104687E-2,3.750467094E1
1.666666667E2,-5.413034865E0,1.725838125E1,4.654336112E-1,4.519880053E-2,3.751249330E1
1.700000000E2,-8.411593858E0,1.805101986E1,4.664982822E-1,4.505814761E-2,4.061404646E1
1.733333333E2,-8.409513539E0,1.809093414E1,3.078481388E-2,1.733453596E-1,4.065401492E1
1.766666667E2,-8.206590087E0,1.806069797E1,5.606216543E-1,4.307428002E-2,4.085917864E1
1.800000000E2,-4.794518264E0,1.714196171E1,5.301933160E-1,5.070091743E-2,4.439277602E1
1.833333333E2,-4.793946060E0,1.714014695E1,1.102154057E-3,9.087448972E-2,4.439467886E1
1.866666667E2,-4.793119727E0,1.714917508E1,1.699616925E-3,2.212198468E-4,4.440374472E1
1.900000000E2,-4.791647066E0,1.715124205E1,1.894618294E-3,6.287015753E-4,4.440628265E1
1.933333333E2,-4.789792032E0,1.716135963E1,1.380627318E-3,3.870583005E-2,4.441656889E1
1.966666667E2,-4.791625488E0,1.714203789E1,2.254672489E-1,3.550922628E-2,4.443597742E1
2.000000000E2,-6.237575639E0,1.756543550E1,3.198629324E-1,3.009803107E-2,4.594264174E1
2.033333333E2,-6.861304541E0,1.765549845E1,3.350922572E-1,5.979761393E-2,4.657283939E1
2.066666667E2,-8.411950579E0,1.807789915E1,4.645297189E-2,4.580364427E-2,4.817998764E1
2.100000000E2,-7.170987071E0,1.765393443E1,1.527564562E-1,3.143882435E-2,4.949137488E1
2.133333333E2,-7.482475477E0,1.766176639E1,1.912767212E-2,2.474627577E-2,4.980296174E1
2.166666667E2,-7.069564331E0,1.757664135E1,6.239048773E-2,6.217147364E-2,5.022455619E1
2.200000000E2,-7.074711416E0,1.757971937E1,3.476284501E-1,6.868984564E-2,5.023055342E1
2.233333333E2,-4.791387886E0,1.715140619E1,1.650879667E-1,6.057929857E-2,5.255370182E1
2.266666667E2,-8.104056621E0,1.796925623E1,4.364516371E-1,3.089864567E-2,5.596583501E1
2.300000000E2,-7.587424449E0,1.795664104E1,4.899006035E-2,8.416955526E-2,5.648262117E1
2.333333333E2,-8.413197666E0,1.807461105E1,4.615431337E-2,1.469059294E-3,5.731677843E1
2.366666667E2,-7.894651430E0,1.797361322E1,4.663571218E-2,1.183939732E-2,5.784506884E1
