mass_A
t,x,y,v,a,L
0.000000000E0,0.000000000E0,-7.142857143E-1,�,�,0.000000000E0
3.333333333E0,-7.218769824E-3,-7.088991195E-1,2.089187330E-1,�,9.006999539E-3
6.666666667E0,-9.308246437E-1,-1.750352215E0,1.987109482E-1,1.892675803E-2,1.401010002E0
1.000000000E1,-8.311902854E-1,-1.746206256E0,1.553306579E-2,3.688649261E-2,1.500730584E0
1.333333333E1,-8.273919035E-1,-1.745347024E0,1.447841522E-2,2.768068768E-3,1.504624937E0
1.666666667E1,-8.263263291E-1,-1.649806117E0,1.718186224E-3,5.699531899E-3,1.600171785E0
2.000000000E1,-8.168101322E-1,-1.749732614E0,3.433083156E-2,5.486377776E-2,1.700550382E0
2.333333333E1,-6.263296985E-1,-1.538523430E0,3.296833848E-1,2.752469172E-2,1.984965773E0
2.666666667E1,1.341989546E0,-2.162408065E0,5.592504485E-2,5.481360887E-2,4.049793292E0
3.000000000E1,-4.147400768E-1,-1.231546641E0,2.984497049E-1,2.626004474E-2,6.037908469E0
3.333333333E1,-4.171616871E-1,-1.232810003E0,2.172920687E-2,7.066343852E-2,6.040639821E0
3.666666667E1,-3.129881543E-1,-1.128438128E0,2.309277598E-1,5.067628531E-2,6.188103759E0
4.000000000E1,6.206485226E-1,-9.567902136E-2,4.050839311E-1,6.072676921E-2,7.580320990E0
4.333333333E1,1.966322545E0,3.199280456E-1,1.316640061E-1,8.211821989E-2,8.988712912E0
4.666666667E1,-6.595830296E-4,-7.157104136E-1,3.415655688E-1,1.137846553E-2,1.121167618E1
5.000000000E1,-5.829926420E-3,-8.184112323E-1,3.464727225E-2,6.332854319E-2,1.131450707E1
5.333333333E1,1.021816500E-1,-5.088861412E-1,5.629487414E-2,1.079331921E-2,1.164233672E1
5.666666667E1,2.047661558E-1,-5.077687523E-1,7.788275325E-2,3.013957631E-3,1.174492731E1
6.000000000E1,4.145395672E-1,-9.413292341E-2,9.815795000E-2,4.073333119E-2,1.220871550E1
6.333333333E1,4.135472676E-1,1.124182522E-1,2.800628879E-1,2.530474857E-2,1.241526906E1
6.666666667E1,2.174577463E0,5.289853932E-1,3.292457756E-1,4.128048960E-2,1.422489762E1
7.000000000E1,2.487394116E0,8.314875229E-1,1.964663362E-1,5.533263255E-2,1.466005483E1
7.333333333E1,1.753584438E0,1.769258318E0,1.178243482E-1,4.098300748E-2,1.585080699E1
7.666666667E1,2.797565948E0,1.098249577E-1,2.866103904E-1,5.649530795E-2,1.781132133E1
8.000000000E1,2.997308421E0,3.187196358E-1,3.518899579E-1,7.943771527E-2,1.810034390E1
8.333333333E1,5.105560416E-1,6.323070873E-1,3.273646908E-1,4.021047076E-2,2.060679048E1
8.666666667E1,1.135893347E0,1.458079182E0,2.291730196E-1,5.985829139E-2,2.164262169E1
9.000000000E1,1.237634824E0,1.976029825E0,1.430914593E-1,2.767142296E-2,2.217047034E1
9.333333333E1,1.339886270E0,2.389955919E0,6.374275444E-2,1.331795442E-2,2.259683893E1
9.666666667E1,1.347208891E0,2.386611690E0,3.487356397E-2,2.990364860E-3,2.260488906E1
