mass_A
t,x,y,v,a,L
0.000000000E0,-4.545454545E-1,-1.421085472E-14,�,�,0.000000000E0
3.333333333E0,-4.556259894E-1,2.663616576E-1,2.818675464E-2,�,2.663638493E-1
6.666666667E0,-3.232147073E-1,1.343988130E-1,2.574792704E-1,2.172185645E-2,4.533048560E-1
1.000000000E1,-3.184532465E-1,1.977400414E0,2.948775311E-1,1.860667188E-2,2.296312607E0
1.333333333E1,-2.959456699E-1,2.100059882E0,2.132594931E-1,1.526275546E-2,2.421020009E0
1.666666667E1,4.706408216E-1,3.160044322E0,2.879681617E-1,9.866842035E-2,3.729156800E0
2.000000000E1,2.132400840E-1,3.951090636E0,7.381775154E-1,6.612258266E-2,4.561027830E0
2.333333333E1,1.787040470E0,7.901894001E0,7.331779510E-1,1.325807990E-1,8.813755764E0
2.666666667E1,4.152664871E0,6.844538296E0,4.772562066E-1,5.724170650E-2,1.140492922E1
3.000000000E1,3.091528294E0,4.999898550E0,2.211000976E-1,1.135402060E-1,1.353300503E1
3.333333333E1,4.415533188E0,8.294910029E0,7.188066701E-1,2.868636817E-2,1.708407382E1
3.666666667E1,5.599636375E0,9.083167343E0,1.394323729E-1,1.303115395E-1,1.850655404E1
4.000000000E1,3.494954349E0,8.423736382E0,3.093997545E-1,7.686344184E-3,2.071212326E1
4.333333333E1,3.755605330E0,8.158972273E0,2.052375665E-2,6.921081408E-2,2.108365922E1
4.666666667E1,3.529421045E0,8.556149145E0,5.256745558E-1,6.697895109E-2,2.154072464E1
5.000000000E1,8.600341587E-1,1.013309666E1,5.796087960E-1,4.695592240E-2,2.464111007E1
5.333333333E1,1.125921402E0,1.158172986E1,3.022617502E-1,6.327026066E-2,2.611394209E1
5.666666667E1,1.256984044E0,1.210869061E1,2.759080008E-1,1.724641307E-2,2.665695688E1
6.000000000E1,1.004939701E0,1.341713356E1,2.569623715E-1,8.626346164E-2,2.798945427E1
6.333333333E1,1.495169140E0,1.380513379E1,5.464997789E-1,9.793870310E-2,2.861464950E1
6.666666667E1,4.559779022E0,1.421524661E1,8.880514196E-1,1.997461672E-2,3.170657871E1
7.000000000E1,3.883731168E0,1.922225759E1,4.924563220E-1,1.104488543E-1,3.675902363E1
7.333333333E1,5.469657969E0,1.736968571E1,3.651279677E-1,1.091508951E-1,3.919770900E1
7.666666667E1,5.468629769E0,1.737472948E1,9.978181641E-2,4.493745843E-2,3.920285651E1
8.000000000E1,6.122542501E0,1.724221439E1,2.024473014E-1,2.553424374E-2,3.987006121E1
8.333333333E1,6.790697614E0,1.710327385E1,7.334472355E-2,9.603814095E-2,4.055250954E1
8.666666667E1,5.992965903E0,1.771369769E1,4.950131966E-1,3.383214384E-2,4.155699605E1
9.000000000E1,4.151536048E0,1.908453781E1,3.543134410E-1,2.394560506E-2,4.385265860E1
9.333333333E1,4.272015217E0,1.933165815E1,4.656897239E-1,4.316283183E-2,4.412758349E1
9.666666667E1,1.898132533E0,2.122011790E1,3.287667655E-1,4.383999533E-2,4.716099728E1
1.000000000E2,2.439719883E0,2.053439940E1,4.197497716E-1,2.172282499E-1,4.803479744E1
1.033333333E2,5.936687398E-1,2.369580672E1,1.263106488E0,9.056954243E-2,5.169572642E1
1.066666667E2,6.818181818E0,2.772727273E1,1.103201451E0,1.374079313E-1,5.911174161E1
1.100000000E2,6.562116062E0,2.799335260E1,3.109826968E-2,1.892354677E-1,5.948102222E1
1.133333333E2,6.654698773E0,2.785477026E1,2.637023418E-2,7.815301335E-3,5.964768542E1
1.166666667E2,6.679902113E0,2.786284346E1,7.445703529E-3,3.953938872E-3,5.967415021E1
1.200000000E2,6.700736767E0,2.787332926E1,3.068395088E-3,5.451734416E-3,5.969747476E1
1.233333333E2,6.696995173E0,2.785160630E1,2.943799501E-2,2.979076321E-3,5.971951760E1
1.266666667E2,6.609740348E0,2.804721143E1,3.244200405E-2,1.348200858E-3,5.993370157E1
1.300000000E2,6.638086350E0,2.805970916E1,1.701567430E-2,1.935867780E-3,5.996468042E1
1.333333333E2,6.524629655E0,2.812220684E1,4.145919385E-2,1.493445875E-1,6.009421181E1
1.366666667E2,6.442928237E0,2.825543167E1,8.902348489E-1,8.837312298E-2,6.025049353E1
1.400000000E2,2.347466806E0,3.233816896E1,9.792780659E-1,6.391362433E-2,6.603336031E1
1.433333333E2,1.823841884E0,3.286906585E1,1.396320561E-1,1.366999305E-1,6.677903756E1
1.466666667E2,1.696506453E0,3.300359280E1,1.398275288E-1,2.500429463E-3,6.696427204E1
1.500000000E2,1.160425458E0,3.352392826E1,1.672174609E-1,9.646741270E-3,6.771135425E1
1.533333333E2,9.146284242E-1,3.379820468E1,5.634983174E-2,1.897691942E-2,6.807965269E1
1.566666667E2,9.407736784E-1,3.382868668E1,2.931781497E-2,2.731263295E-3,6.811981145E1
1.600000000E2,7.913685729E-1,3.394989032E1,5.533261149E-2,5.000608437E-3,6.831219702E1
1.633333333E2,6.698802301E-1,3.407907079E1,2.522514320E-3,9.603366887E-3,6.848953007E1
1.666666667E2,7.799620483E-1,3.393753335E1,2.772464929E-2,7.200180308E-3,6.866883666E1
1.700000000E2,7.779762366E-1,3.392914497E1,5.497974312E-2,4.661750056E-3,6.867745689E1
1.733333333E2,4.968942122E-1,3.417038100E1,2.810131904E-2,7.078032710E-3,6.904786467E1
1.766666667E2,6.275729476E-1,3.404084065E1,2.933456078E-2,2.570871914E-3,6.923186912E1
1.800000000E2,5.770943066E-1,3.399201867E1,2.779791288E-2,1.692854233E-2,6.930209503E1
1.833333333E2,4.745664210E-1,3.414539824E1,8.466893261E-2,7.294513749E-3,6.948658692E1
1.866666667E2,2.041885385E-1,3.441575901E1,8.568842102E-2,7.468598940E-3,6.986894689E1
1.900000000E2,7.427328056E-3,3.447420615E1,3.003961704E-2,4.303731979E-2,7.007420537E1
1.933333333E2,1.569262371E-2,3.448339780E1,3.215080043E-1,7.223482837E-3,7.008656665E1
1.966666667E2,-1.446716184E0,3.604887220E1,1.538960948E-1,5.162187484E-2,7.222884340E1
2.000000000E2,-6.316830745E-1,3.527934207E1,2.247580751E-1,2.173862275E-2,7.334976070E1
2.033333333E2,-3.360459561E-1,3.504310098E1,3.351153175E-1,5.765978255E-2,7.372819320E1
2.066666667E2,-2.193078713E0,3.687723315E1,3.357864350E-1,8.838542158E-2,7.633829118E1
2.100000000E2,-1.912496403E0,3.663244913E1,4.040887338E-1,5.865222757E-2,7.671064269E1
2.133333333E2,-2.775459833E-1,3.498304053E1,1.527746565E-1,6.093577015E-2,7.903305773E1
2.166666667E2,-1.224288312E0,3.588164476E1,2.234889612E-1,4.533764614E-2,8.033835869E1
2.200000000E2,-1.377046118E0,3.598851562E1,2.804742131E-2,3.590040979E-2,8.052478918E1
2.233333333E2,-1.374749637E0,3.599265809E1,4.190447245E-1,5.033079328E-2,8.052952563E1
2.266666667E2,-3.378442337E0,3.793756414E1,5.306506067E-1,2.630040738E-2,8.332191599E1
2.300000000E2,-3.899949832E0,3.847025331E1,1.121144211E-1,9.097202032E-2,8.406738753E1
2.333333333E2,-3.903412473E0,3.846959532E1,5.576677352E-2,1.453330920E-2,8.407091214E1
2.366666667E2,-3.632264869E0,3.821225329E1,1.017265633E-3,1.450476640E-2,8.444473822E1
2.400000000E2,-3.896736144E0,3.846840408E1,8.473452046E-2,1.189850833E-2,8.481292062E1
2.433333333E2,-3.243290203E0,3.780261064E1,2.909664881E-2,1.684766132E-2,8.574580459E1
2.466666667E2,-3.750064936E0,3.834145965E1,1.389740841E-1,1.188531871E-1,8.648552000E1
2.500000000E2,-3.881161965E0,3.847455598E1,6.235401552E-1,2.987610763E-2,8.667233827E1
2.533333333E2,-6.246647609E0,4.166518922E1,5.958004459E-1,5.581257940E-2,9.064419713E1
2.566666667E2,-6.259572553E0,4.165574612E1,7.821942597E-4,1.023806093E-1,9.066020420E1
2.600000000E2,-6.251206861E0,4.166265830E1,2.264966896E-3,6.493012597E-5,9.067105607E1
2.633333333E2,-6.263642205E0,4.164120510E1,3.548382832E-3,2.642526356E-4,9.069585279E1
2.666666667E2,-6.265223648E0,4.164360231E1,1.524303743E-3,7.842949137E-4,9.069872465E1
2.700000000E2,-6.254177088E0,4.164490352E1,1.646612209E-3,1.118114167E-4,9.070984759E1
2.733333333E2,-6.255803903E0,4.164923898E1,1.400928469E-3,3.735915090E-4,9.071447822E1
2.766666667E2,-6.246719511E0,4.165052591E1,1.145957536E-3,3.783002161E-2,9.072365331E1
2.800000000E2,-6.255129843E0,4.165684890E1,2.209655292E-1,1.887923263E-2,9.073417538E1
2.833333333E2,-4.888169067E0,4.222006493E1,1.685785235E-3,3.771882659E-2,9.221261850E1
2.866666667E2,-6.244762854E0,4.166118837E1,2.199834362E-1,1.964799141E-2,9.367982323E1
2.900000000E2,-6.243702278E0,4.166031773E1,2.966674637E-3,3.825330871E-2,9.368119539E1
2.933333333E2,-6.260029588E0,4.164861501E1,1.717406167E-3,1.239123744E-3,9.370128357E1
2.966666667E2,-6.234833542E0,4.166755884E1,8.148785895E-3,8.919025670E-4,9.373280673E1
3.000000000E2,-6.212634771E0,4.167516614E1,5.846539843E-3,4.061515807E-3,9.375627280E1
3.033333333E2,-6.204349494E0,4.164327049E1,2.769108890E-2,1.525319691E-1,9.378922699E1
3.066666667E2,-6.061178441E0,4.156961606E1,8.741270323E-1,3.435871749E-2,9.395023297E1
3.100000000E2,-1.069123697E1,4.536183943E1,2.375526857E-1,1.934335076E-2,9.993508050E1
3.133333333E2,-7.138113496E0,4.273076536E1,1.956103108E-2,6.097638973E-2,1.043563063E2
3.166666667E2,-1.068681225E1,4.523150764E1,5.418992016E-1,5.303618078E-2,1.086976165E2
3.200000000E2,-1.015570144E1,4.471708986E1,8.356993561E-2,3.420782371E-2,1.094370111E2
3.233333333E2,-1.025799009E1,4.487582713E1,4.476632518E-1,7.888711525E-2,1.096258510E2
3.266666667E2,-1.216475045E1,4.692400962E1,5.733042083E-1,2.247184351E-2,1.124242052E2
3.300000000E2,-1.281710309E1,4.771463659E1,1.836788917E-1,7.587981995E-2,1.134492198E2
3.333333333E2,-1.294963008E1,4.786391800E1,7.079715121E-2,1.379519141E-1,1.136488403E2
3.366666667E2,-1.320328679E1,4.798598180E1,6.167923226E-1,6.003462240E-2,1.139303386E2
3.400000000E2,-1.002530223E1,4.497316901E1,6.286837557E-1,8.614519026E-2,1.183094512E2
3.433333333E2,-1.016451452E1,4.509942148E1,3.113869267E-1,1.225850105E-1,1.184973867E2
3.466666667E2,-9.375841294E0,4.694487250E1,1.117259538E-1,4.852587017E-2,1.205042985E2
3.500000000E2,-1.068096843E1,4.563613513E1,3.109174250E-1,1.893984296E-2,1.223525815E2
3.533333333E2,-1.134324726E1,4.629238306E1,2.572325235E-1,4.482453170E-2,1.232849305E2
3.566666667E2,-1.160852979E1,4.707851348E1,5.466028716E-2,2.438403555E-2,1.241146147E2
3.600000000E2,-1.159226942E1,4.655842200E1,4.014383544E-2,1.514645070E-2,1.246349603E2
3.633333333E2,-1.187612185E1,4.707427859E1,4.366766834E-2,7.021335447E-3,1.252237559E2
3.666666667E2,-1.173543838E1,4.681190221E1,1.914073574E-2,3.726104810E-2,1.255214692E2
3.700000000E2,-1.186945080E1,4.694684818E1,1.387925376E-1,1.207776125E-2,1.257116526E2
3.733333333E2,-1.108630652E1,4.615252558E1,4.465547646E-2,8.854521221E-3,1.268271181E2
3.766666667E2,-1.174761125E1,4.667521920E1,6.169605853E-2,1.665036250E-2,1.276700491E2
3.800000000E2,-1.147074350E1,4.629875042E1,4.380247851E-2,2.296694019E-2,1.281373654E2
3.833333333E2,-1.160702372E1,4.641927234E1,2.796210936E-2,5.146548081E-3,1.283192934E2
3.866666667E2,-1.134365178E1,4.616237631E1,5.551311659E-2,4.593849029E-5,1.286872069E2
3.900000000E2,-1.134354200E1,4.615938370E1,1.348968458E-3,9.600067011E-3,1.286902016E2
3.933333333E2,-1.134838542E1,4.615472982E1,8.336559793E-4,1.894433624E-1,1.286969185E2
3.966666667E2,-1.134905332E1,4.616010030E1,1.105646261E0,9.631995937E-2,1.287023304E2
4.000000000E2,-1.648890243E1,4.087208291E1,1.115640606E0,9.409313383E-2,1.360766898E2
4.033333333E2,-1.658985412E1,4.088260461E1,1.426854735E-2,1.622223238E-1,1.361781883E2
4.066666667E2,-1.658310200E1,4.088530976E1,1.900262799E-1,1.857735359E-2,1.361854622E2
4.100000000E2,-1.779605416E1,4.049534531E1,2.161056306E-1,1.027829380E-2,1.374595600E2
4.133333333E2,-1.792792231E1,4.036850523E1,5.654900550E-2,2.541936581E-2,1.376425289E2
4.166666667E2,-1.806216177E1,4.022830459E1,7.083287083E-2,4.126494844E-2,1.378366331E2
4.200000000E2,-1.832048013E1,4.010603756E1,2.134836821E-1,2.411059206E-2,1.381224260E2
4.233333333E2,-1.687401883E1,3.944479680E1,2.406907000E-1,1.540981511E-2,1.397128630E2
4.266666667E2,-1.700946007E1,3.918084431E1,2.056881445E-2,8.731483493E-2,1.400095366E2
4.300000000E2,-1.687513813E1,3.930767594E1,2.681136684E-1,4.390820418E-2,1.401942760E2
