mass_A
t,x,y,v,a,L
0.000000000E0,-3.461538462E0,-3.846153846E0,�,�,0.000000000E0
3.333333333E0,-2.692307692E0,-3.076923077E0,1.520963475E-1,�,1.087856586E0
6.666666667E0,-2.799600343E0,-3.078049331E0,2.419901229E-2,2.650670055E-2,1.195155148E0
1.000000000E1,-2.805074083E0,-2.961553839E0,3.623687434E-2,3.074889523E-3,1.311779165E0
1.333333333E1,-2.914464147E0,-2.865524513E0,1.662575261E-2,8.584062640E-3,1.457339522E0
1.666666667E1,-2.915900779E0,-2.963161149E0,3.143978299E-2,6.176328726E-4,1.554986727E0
2.000000000E1,-2.897391769E0,-3.074426613E0,1.446321992E-2,6.878059899E-3,1.667781173E0
2.333333333E1,-3.007361892E0,-2.993689231E0,3.628469700E-2,3.417311656E-3,1.804206804E0
2.666666667E1,-3.123530784E0,-2.988544260E0,5.947821375E-3,3.928242438E-3,1.920489572E0
3.000000000E1,-3.021123490E0,-2.956501722E0,1.990770886E-3,2.590033307E-3,2.027792778E0
3.333333333E1,-3.132986772E0,-2.997856892E0,3.305232733E-2,6.782023148E-4,2.147055697E0
3.666666667E1,-3.240504040E0,-2.977136393E0,1.740100554E-3,2.830051183E-3,2.256551368E0
4.000000000E1,-3.121763170E0,-2.994923241E0,1.359662734E-2,6.074554939E-4,2.376617042E0
4.333333333E1,-3.248898974E0,-3.067390993E0,1.649540836E-2,3.905055506E-3,2.522955990E0
4.666666667E1,-3.231729287E0,-2.995771579E0,1.318270281E-2,2.513703682E-3,2.596604742E0
5.000000000E1,-3.336547469E0,-3.073829880E0,1.493639473E-2,8.564205191E-3,2.727295023E0
5.333333333E1,-3.330862730E0,-3.005148848E0,5.703625797E-2,1.172580638E-2,2.796210916E0
5.666666667E1,-3.698096081E0,-2.956074342E0,1.062696628E-1,2.940287762E-3,3.166708745E0
6.000000000E1,-4.003858371E0,-2.783792346E0,7.349686091E-2,8.044792433E-3,3.517666953E0
6.333333333E1,-4.135393999E0,-2.735053930E0,4.978591055E-2,4.816425219E-3,3.657941879E0
6.666666667E1,-4.278088869E0,-2.596818356E0,5.361239348E-2,3.087133170E-3,3.856614726E0
7.000000000E1,-4.391709735E0,-2.485958748E0,6.248618293E-2,5.620797762E-3,4.015358399E0
7.333333333E1,-4.582009018E0,-2.311920301E0,8.844879339E-2,3.433597825E-2,4.273240538E0
7.666666667E1,-4.904720872E0,-2.195240904E0,1.329868739E-1,2.097862802E-2,4.616397969E0
8.000000000E1,-3.806953210E0,-2.742398060E0,1.525976347E-1,2.526939675E-2,5.842968306E0
8.333333333E1,-3.910082845E0,-2.408853222E0,1.303435895E-1,3.997506087E-2,6.192092755E0
8.666666667E1,-4.360350396E0,-2.072444121E0,1.219810570E-1,3.949490511E-3,6.754153206E0
9.000000000E1,-4.367343932E0,-1.736381662E0,8.958653342E-2,4.580604727E-3,7.090288425E0
9.333333333E1,-4.599431487E0,-1.525141557E0,1.060393040E-1,9.705223262E-2,7.404114835E0
9.666666667E1,-4.926741102E0,-1.304151419E0,6.584084954E-1,1.244316544E-1,7.799042962E0
1.000000000E2,-7.143912027E0,2.051499757E0,4.361738829E-1,9.510008816E-2,1.182101284E1
1.033333333E2,-2.018941305E0,-1.291833935E0,6.677063677E-1,5.882468740E-2,1.794009816E1
1.066666667E2,-3.360962724E0,-2.945694974E-1,3.893592201E-1,1.535377354E-1,1.961209034E1
1.100000000E2,-4.365293968E0,-1.816836193E-1,1.708854320E-1,8.476278005E-2,2.062274580E1
1.133333333E2,-4.353625331E0,2.644296967E-1,8.163820400E-1,5.493248063E-2,2.106901169E1
1.166666667E2,-8.042031105E0,3.831160901E0,8.312078878E-1,5.893968184E-2,2.619988965E1
1.200000000E2,-8.163079659E0,4.288732820E0,1.381096427E-1,1.303428821E-1,2.667320225E1
1.233333333E2,-8.258991175E0,4.725964686E0,7.205941970E-2,2.741691784E-2,2.712083014E1
1.266666667E2,-8.373980123E0,4.720359322E0,5.336768083E-2,8.146456664E-3,2.723595562E1
1.300000000E2,-8.150775877E0,4.387036836E0,3.675616368E-2,1.033469345E-1,2.763710898E1
1.333333333E2,-8.148949907E0,4.817346631E0,5.987621586E-1,5.082220200E-2,2.806742265E1
1.366666667E2,-4.917961508E0,2.045464469E0,6.527019804E-1,1.492770572E-1,3.232448933E1
1.400000000E2,-4.719451771E0,2.139145889E0,5.925835002E-1,3.754558232E-1,3.254399406E1
1.433333333E2,-7.511890264E0,5.025134182E0,1.845425096E0,2.467034193E-1,3.655979300E1
1.466666667E2,-1.383720672E1,1.039906529E1,1.079926730E0,3.282632748E-1,4.485971853E1
1.500000000E2,-2.307692308E0,1.000000000E1,1.721930801E0,1.139993961E-1,5.639613720E1
1.533333333E2,-2.359321138E0,1.059387471E1,1.604383496E-1,2.991957734E-1,5.699225188E1
1.566666667E2,-2.401796933E0,1.106544120E1,1.405655110E-1,5.753731346E-4,5.746572748E1
1.600000000E2,-2.485060640E0,1.152250401E1,1.606240320E-1,1.335120497E-3,5.793031252E1
1.633333333E2,-2.538329020E0,1.212752839E1,1.548593352E-1,5.443752719E-3,5.853767733E1
1.666666667E2,-2.551839210E0,1.255273759E1,1.159162500E-1,4.468320686E-3,5.896310111E1
1.700000000E2,-2.588663102E0,1.289866241E1,1.238073691E-1,9.991964103E-3,5.931098037E1
1.733333333E2,-2.656164087E0,1.337150039E1,9.737612928E-2,1.340741260E-2,5.978861218E1
1.766666667E2,-2.343678272E0,1.349983590E1,9.237826314E-2,7.446702584E-3,6.012642483E1
1.800000000E2,-2.145576349E0,1.371585145E1,8.344976066E-2,4.528393207E-3,6.041952394E1
1.833333333E2,-1.976329452E0,1.391763950E1,1.153420462E-1,1.909743730E-3,6.068289237E1
1.866666667E2,-1.542739448E0,1.419320574E1,1.058954196E-1,5.164685692E-3,6.119664041E1
1.900000000E2,-1.503313997E0,1.444170940E1,6.249187077E-2,8.530991652E-3,6.144825208E1
1.933333333E2,-1.282297844E0,1.451837665E1,6.853036580E-2,7.134840251E-3,6.168218799E1
1.966666667E2,-1.065731528E0,1.457305232E1,8.838089523E-2,1.097070012E-2,6.190554957E1
2.000000000E2,-7.524269334E-1,1.477605958E1,1.389004114E-1,6.182472861E-3,6.227887479E1
2.033333333E2,-3.115183941E-1,1.511030797E1,1.201212813E-1,6.776026292E-3,6.283215801E1
2.066666667E2,-1.824946570E-1,1.533861760E1,8.104897805E-2,4.901143216E-3,6.309440296E1
2.100000000E2,3.194499560E-2,1.552742384E1,1.022869495E-1,1.481400070E-2,6.338011638E1
2.133333333E2,2.396853246E-1,1.587412614E1,9.573658466E-2,3.548297450E-3,6.378429274E1
2.166666667E2,-1.952284445E-1,1.612386956E1,7.866912353E-2,1.216257147E-2,6.428581220E1
2.200000000E2,4.771555593E-1,1.634174462E1,1.364397981E-1,3.998648453E-3,6.499261471E1
2.233333333E2,5.888901336E-1,1.658487690E1,7.292005722E-2,1.297075243E-2,6.526019259E1
2.266666667E2,5.896324337E-1,1.681468747E1,7.513231112E-2,7.629617012E-3,6.549000436E1
2.300000000E2,8.131358724E-1,1.703275713E1,1.202293597E-1,3.861746130E-3,6.580226733E1
2.333333333E2,1.030553294E0,1.748404361E1,1.013844966E-1,4.348710219E-3,6.630319628E1
2.366666667E2,9.243014714E-1,1.769944932E1,1.034302736E-1,5.215133653E-3,6.654338178E1
2.400000000E2,1.476785760E0,1.800971967E1,9.544567033E-2,2.860924460E-3,6.717702725E1
2.433333333E2,1.261433707E0,1.823910221E1,8.941875258E-2,1.085292875E-2,6.749165855E1
2.466666667E2,1.586310084E0,1.859569702E1,1.885459273E-1,1.610777056E-2,6.797405312E1
2.500000000E2,2.258173302E0,1.900492916E1,1.758379578E-1,6.870699230E-3,6.876073674E1
2.533333333E2,2.477780797E0,1.935691787E1,1.203425432E-1,3.081691854E-2,6.917561444E1
2.566666667E2,2.813309728E0,1.958413772E1,7.585460535E-2,2.955506429E-3,6.958084095E1
2.600000000E2,2.254144600E0,1.981047788E1,9.271522926E-2,9.430821443E-3,7.018407847E1
2.633333333E2,3.036014768E0,2.016072420E1,1.529473780E-1,1.308545723E-2,7.104081265E1
2.666666667E2,3.044414055E0,2.045480594E1,1.080322722E-1,4.974037280E-3,7.133501431E1
2.700000000E2,3.373214760E0,2.079712503E1,1.465316165E-1,6.553897326E-3,7.180966394E1
2.733333333E2,3.812761475E0,2.105807353E1,8.444393077E-2,9.371095606E-3,7.232083458E1
2.766666667E2,3.817227677E0,2.114321169E1,6.044192579E-2,9.850863765E-3,7.240608980E1
2.800000000E2,4.150575483E0,2.127772624E1,7.521054781E-2,8.279392580E-3,7.276555458E1
2.833333333E2,4.049704832E0,2.158746386E1,9.630604456E-2,9.639569455E-3,7.309130338E1
2.866666667E2,4.485054877E0,2.182575843E1,1.495083990E-1,4.360444664E-3,7.358760366E1
2.900000000E2,4.707484779E0,2.233631739E1,1.324596156E-1,5.952573378E-3,7.414451075E1
2.933333333E2,4.710800275E0,2.267948041E1,1.556939012E-1,4.406462911E-3,7.448768979E1
2.966666667E2,5.486235512E0,2.302254394E1,1.779256956E-1,4.976952365E-2,7.533562398E1
3.000000000E2,5.488816647E0,2.357485346E1,3.615333061E-1,2.841574866E-2,7.588793953E1
3.033333333E2,4.594792385E0,2.526185175E1,2.481889363E-1,5.976964211E-3,7.779719137E1
3.066666667E2,4.713473911E0,2.503653787E1,2.193199159E-1,2.251209509E-2,7.805185124E1
3.100000000E2,4.375895153E0,2.670750601E1,3.022057978E-1,1.173092838E-2,7.975657818E1
3.133333333E2,4.484495675E0,2.703818881E1,5.279837637E-2,6.340513340E-2,8.010463735E1
3.166666667E2,4.490395030E0,2.704035156E1,1.428030896E-1,1.353243422E-2,8.011092065E1
3.200000000E2,5.376886127E0,2.670655272E1,1.513048856E-1,1.523091852E-2,8.105817359E1
3.233333333E2,5.492883704E0,2.692859015E1,7.487744317E-2,2.124001937E-2,8.130868519E1
3.266666667E2,5.581320425E0,2.716195390E1,1.407832693E-1,1.902335799E-2,8.155824419E1
3.300000000E2,6.163798793E0,2.758491223E1,1.834584917E-1,2.472497418E-2,8.227808778E1
3.333333333E2,5.710678398E0,2.837815043E1,5.134343517E-2,2.091630681E-2,8.319162209E1
3.366666667E2,6.489779102E0,2.748051402E1,1.192838586E-1,1.270833171E-2,8.438021328E1
