Urchin,Treatment,Segment,Number of voxels [voxels] (1),Volume [mm3] (1),Volume [cm3] (1),Number of voxels [voxels] (2),Volume [mm3] (2),Volume [cm3] (2),Minimum,Maximum,Mean,Median,Standard Deviation,Surface area [mm2],Volume [mm3] (3),Volume [cm3] (3),Diam,Date_quant
S_purpuratus_F01v3_35.5um_Al_2k,control-starve,Gonad_1,1087332,3113.34,3.11334,1087332,3113.34,3.11334,24,64,38.2671,36,9.04864,5048.08,3136.34,3.13634,NA,2022-11-06
S_purpuratus_F01v3_35.5um_Al_2k,control-starve,Gonad_2,1112740,3186.1,3.1861,1112740,3186.1,3.1861,24,64,39.0476,37,9.17632,4999.31,3186.05,3.18605,NA,2022-11-06
S_purpuratus_F01v3_35.5um_Al_2k,control-starve,Gonad_3,1247677,3572.46,3.57246,1247677,3572.46,3.57246,24,64,41.144,39,9.60955,4737.45,3576.86,3.57686,NA,2022-11-06
S_purpuratus_F01v3_35.5um_Al_2k,control-starve,Gonad_4,1282536,3672.27,3.67227,1282536,3672.27,3.67227,24,64,40.5523,38,9.48284,3327.63,3716.55,3.71655,NA,2022-11-06
S_purpuratus_F01v3_35.5um_Al_2k,control-starve,Gonad_5,1167705,3343.48,3.34348,1167705,3343.48,3.34348,24,64,38.1509,36,8.28131,3152.05,3383.58,3.38358,NA,2022-11-06
S_purpuratus_F01v3_35.5um_Al_2k,control-starve,Total_Volume,30789721,88159.8,88.1598,30789721,88159.8,88.1598,0,78,17.1539,7,19.6349,19730.2,88332.9,88.3329,NA,2022-11-06
S_purpuratus_F01v3_35.5um_Al_2k,control-starve,Inner_Diam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.46,2022-11-06
S_purpuratus_F01v3_35.5um_Al_2k,control-starve,Outer_Diam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.52,2022-11-06
S_purpuratus_F02v1_35.5um_Al_2k,pycno-feed,Gonad_1,1683766,4821.11,4.82111,1683766,4821.11,4.82111,37,205,77.7822,70,30.0755,3772.36,4960.46,4.96046,NA,2022-11-06
S_purpuratus_F02v1_35.5um_Al_2k,pycno-feed,Gonad_2,1714710,4909.71,4.90971,1714710,4909.71,4.90971,37,211,72.8215,67,24.656,3890.36,5094.93,5.09493,NA,2022-11-06
S_purpuratus_F02v1_35.5um_Al_2k,pycno-feed,Gonad_3,1744658,4995.46,4.99546,1744658,4995.46,4.99546,37,187,64.3163,58,20.169,4121.32,5239.63,5.23963,NA,2022-11-06
S_purpuratus_F02v1_35.5um_Al_2k,pycno-feed,Gonad_4,1448491,4147.45,4.14745,1448491,4147.45,4.14745,37,217,65.0566,59,20.8314,4037.39,4341.67,4.34167,NA,2022-11-06
