Region,populationPhase,Nsurveys,meanDensityKM2,SDDensityKM2,SEDensityKM2,meanDensityM2,SDDensityM2,SEDensityM2,Range
Aleutians,Historic,9,83333,132288,44096,0.0833333333333333,0.13228756555323,0.0440958551844099,full
Aleutians,Current,2,50000,70711,50000,0.05,0.0707106781186548,0.05,full
West Gulf of Alaska,Historic,45,27444,34093,5082,0.0274444444444444,0.0340933248302332,0.0050823327932922,full
West Gulf of Alaska,Current,5,-,-,-,0,0,0,full
East Gulf of Alaska,Historic,152,120193,304314,24683,0.120193295730263,0.30431353123812,0.0246830867533843,full
East Gulf of Alaska,Current,54,7438,22288,3033,0.00743827162962963,0.0222877057505665,0.00303297259034345,full
Southeast Alaska,Historic,47,118715,98711,14399,0.118715058574468,0.098711443250998,0.0143985438305517,full
Southeast Alaska,Current,31,4758,12499,2245,0.00475806451612903,0.0124985064633426,0.00224479802823225,full
British Columbia,Historic,1091,23095,46650,1412,0.0230952761927604,0.0466500240620634,0.00141234077239538,full
British Columbia,Current,220,2794,9000,607,0.00279384621818182,0.00899993317540789,0.000606775370903837,full
Salish Sea,Historic,244,101049,873132,55897,0.101048902459016,0.873131775819313,0.0558965341730868,full
Salish Sea,Current,87,7641,15511,1663,0.00764070281609195,0.0155111867454651,0.0016629737740023,full
Washington Outer Coast,Historic,9,85724,100015,33338,0.0857243637777778,0.100015107108093,0.0333383690360309,full
Washington Outer Coast,Current,15,304,895,231,0.000303523,0.000895082806787729,0.000231109386944364,full
Oregon,Historic,72,44137,41983,4948,0.0441371406944445,0.0419828212671679,0.0049477229352262,full
Oregon,Current,19,-,-,-,0,0,0,full
Northern California,Historic,192,33526,32542,2348,0.0335260921510417,0.0325416483739071,0.00234849118106868,full
Northern California,Current,85,267,1397,152,0.000266876694117647,0.00139686019415883,0.000151510760713765,full
Central California,Historic,1041,38755,47778,1481,0.0387554647694524,0.0477782722595724,0.00148082956347816,full
Central California,Current,169,181,1140,88,0.000180796189349112,0.00113971754265641,8.76705802043395E-05,full
Southern California,Historic,1062,35790,82750,2539,0.03578990636629,0.0827499705140766,0.00253925074956978,full
Southern California,Current,268,-,-,-,0,0,0,full
Baja California,Historic,81,2586,6049,672,0.00258607991358025,0.00604884058106165,0.000672093397895739,full
Baja California,Current,128,-,-,-,0,0,0,full
Aleutians,Current,3,,,,,,,limited
Baja California,Current,88,,,,0,0,0,limited
British Columbia,Current,595,,,,0.0164098120310734,0.0951749285129194,0.00505849037836593,limited
Central California,Current,224,,,,0.000265946808510638,0.00147257459688017,0.000151884472592319,limited
East Gulf of Alaska,Current,31,,,,0.0120634921111111,0.0286813942926902,0.00676026946608213,limited
Northern California,Current,43,,,,0,0,0,limited
Oregon,Current,62,,,,7.18607407407407E-06,3.73399362097493E-05,7.18607407407407E-06,limited
Salish Sea,Current,2545,,,,0.00221363876744186,0.00874135408028436,0.000666522000007223,limited
Southeast Alaska,Current,58,,,,0.00364942531034483,0.0116824166638219,0.00216937031311363,limited
Southern California,Current,848,,,,0,0,0,limited
Washington Outer Coast,Current,18,,,,0.0004552845,0.00108143313594253,0.00034197918467569,limited
