trial,date,tank,urchinGroup,pycnoTreat,algalTreat,minutes,interacting
001,2021-08-15,TF2,starved,pycno,nereo,5,0
001,2021-08-15,TF2,starved,pycno,nereo,10,0
001,2021-08-15,TF2,starved,pycno,nereo,15,0
001,2021-08-15,TF2,starved,pycno,nereo,20,0
001,2021-08-15,TF2,starved,pycno,nereo,25,0
001,2021-08-15,TF2,starved,pycno,nereo,30,0
001,2021-08-15,TF2,starved,pycno,nereo,35,0
001,2021-08-15,TF2,starved,pycno,nereo,40,0
001,2021-08-15,TF2,starved,pycno,nereo,45,0
001,2021-08-15,TF2,starved,pycno,nereo,50,0
001,2021-08-15,TF2,starved,pycno,nereo,55,0
001,2021-08-15,TF2,starved,pycno,nereo,60,0
002,2021-08-16,TF1,starved,control,nereo,5,0
002,2021-08-16,TF1,starved,control,nereo,10,0
002,2021-08-16,TF1,starved,control,nereo,15,0
002,2021-08-16,TF1,starved,control,nereo,20,0
002,2021-08-16,TF1,starved,control,nereo,25,0
002,2021-08-16,TF1,starved,control,nereo,30,0
002,2021-08-16,TF1,starved,control,nereo,35,0
002,2021-08-16,TF1,starved,control,nereo,40,0
002,2021-08-16,TF1,starved,control,nereo,45,0.6
002,2021-08-16,TF1,starved,control,nereo,50,1
002,2021-08-16,TF1,starved,control,nereo,55,1
002,2021-08-16,TF1,starved,control,nereo,60,1
003,2021-08-16,TF2,starved,pycno,control,5,0
003,2021-08-16,TF2,starved,pycno,control,10,0
003,2021-08-16,TF2,starved,pycno,control,15,0
003,2021-08-16,TF2,starved,pycno,control,20,0
003,2021-08-16,TF2,starved,pycno,control,25,0
003,2021-08-16,TF2,starved,pycno,control,30,0
003,2021-08-16,TF2,starved,pycno,control,35,0
003,2021-08-16,TF2,starved,pycno,control,40,0
003,2021-08-16,TF2,starved,pycno,control,45,0
003,2021-08-16,TF2,starved,pycno,control,50,0
003,2021-08-16,TF2,starved,pycno,control,55,0
003,2021-08-16,TF2,starved,pycno,control,60,0
004,2021-08-16,TF1,fed,control,control,5,0
004,2021-08-16,TF1,fed,control,control,10,0
004,2021-08-16,TF1,fed,control,control,15,0
004,2021-08-16,TF1,fed,control,control,20,0
004,2021-08-16,TF1,fed,control,control,25,0
004,2021-08-16,TF1,fed,control,control,30,0
004,2021-08-16,TF1,fed,control,control,35,0
004,2021-08-16,TF1,fed,control,control,40,0
004,2021-08-16,TF1,fed,control,control,45,0
004,2021-08-16,TF1,fed,control,control,50,0.8
004,2021-08-16,TF1,fed,control,control,55,0.4
004,2021-08-16,TF1,fed,control,control,60,0
005,2021-08-17,TF2,fed,pycno,nereo,5,0
005,2021-08-17,TF2,fed,pycno,nereo,10,0
005,2021-08-17,TF2,fed,pycno,nereo,15,0
005,2021-08-17,TF2,fed,pycno,nereo,20,0
005,2021-08-17,TF2,fed,pycno,nereo,25,0
005,2021-08-17,TF2,fed,pycno,nereo,30,0
005,2021-08-17,TF2,fed,pycno,nereo,35,0
005,2021-08-17,TF2,fed,pycno,nereo,40,0
005,2021-08-17,TF2,fed,pycno,nereo,45,0
005,2021-08-17,TF2,fed,pycno,nereo,50,0
005,2021-08-17,TF2,fed,pycno,nereo,55,0
005,2021-08-17,TF2,fed,pycno,nereo,60,0
006,2021-08-17,TF1,starved,pycno,nereo,5,0
006,2021-08-17,TF1,starved,pycno,nereo,10,0
006,2021-08-17,TF1,starved,pycno,nereo,15,0
006,2021-08-17,TF1,starved,pycno,nereo,20,0
006,2021-08-17,TF1,starved,pycno,nereo,25,0
006,2021-08-17,TF1,starved,pycno,nereo,30,0
006,2021-08-17,TF1,starved,pycno,nereo,35,0
006,2021-08-17,TF1,starved,pycno,nereo,40,0
006,2021-08-17,TF1,starved,pycno,nereo,45,0
006,2021-08-17,TF1,starved,pycno,nereo,50,0
006,2021-08-17,TF1,starved,pycno,nereo,55,0
006,2021-08-17,TF1,starved,pycno,nereo,60,0
007,2021-08-17,TF2,fed,control,nereo,5,1
007,2021-08-17,TF2,fed,control,nereo,10,1
007,2021-08-17,TF2,fed,control,nereo,15,0.6
007,2021-08-17,TF2,fed,control,nereo,20,0
007,2021-08-17,TF2,fed,control,nereo,25,0
007,2021-08-17,TF2,fed,control,nereo,30,0
007,2021-08-17,TF2,fed,control,nereo,35,0
007,2021-08-17,TF2,fed,control,nereo,40,0
007,2021-08-17,TF2,fed,control,nereo,45,0
007,2021-08-17,TF2,fed,control,nereo,50,0
007,2021-08-17,TF2,fed,control,nereo,55,0
007,2021-08-17,TF2,fed,control,nereo,60,0
008,2021-08-17,TF1,starved,control,nereo,5,0.8
008,2021-08-17,TF1,starved,control,nereo,10,1
008,2021-08-17,TF1,starved,control,nereo,15,1
008,2021-08-17,TF1,starved,control,nereo,20,1
008,2021-08-17,TF1,starved,control,nereo,25,1
008,2021-08-17,TF1,starved,control,nereo,30,1
008,2021-08-17,TF1,starved,control,nereo,35,1
008,2021-08-17,TF1,starved,control,nereo,40,1
008,2021-08-17,TF1,starved,control,nereo,45,1
008,2021-08-17,TF1,starved,control,nereo,50,1
008,2021-08-17,TF1,starved,control,nereo,55,1
008,2021-08-17,TF1,starved,control,nereo,60,1
009,2021-08-18,TF2,fed,control,control,5,0.8
009,2021-08-18,TF2,fed,control,control,10,0.4
009,2021-08-18,TF2,fed,control,control,15,0
009,2021-08-18,TF2,fed,control,control,20,0
009,2021-08-18,TF2,fed,control,control,25,0
009,2021-08-18,TF2,fed,control,control,30,0
009,2021-08-18,TF2,fed,control,control,35,0
009,2021-08-18,TF2,fed,control,control,40,0
009,2021-08-18,TF2,fed,control,control,45,0
009,2021-08-18,TF2,fed,control,control,50,0
009,2021-08-18,TF2,fed,control,control,55,0
009,2021-08-18,TF2,fed,control,control,60,0
010,2021-08-18,TF1,fed,control,control,5,0
010,2021-08-18,TF1,fed,control,control,10,0
010,2021-08-18,TF1,fed,control,control,15,0
010,2021-08-18,TF1,fed,control,control,20,0
010,2021-08-18,TF1,fed,control,control,25,0
010,2021-08-18,TF1,fed,control,control,30,0
010,2021-08-18,TF1,fed,control,control,35,0
010,2021-08-18,TF1,fed,control,control,40,0
010,2021-08-18,TF1,fed,control,control,45,0
010,2021-08-18,TF1,fed,control,control,50,0
010,2021-08-18,TF1,fed,control,control,55,0
010,2021-08-18,TF1,fed,control,control,60,0
011,2021-08-18,TF2,starved,pycno,nereo,5,1
011,2021-08-18,TF2,starved,pycno,nereo,10,1
011,2021-08-18,TF2,starved,pycno,nereo,15,1
011,2021-08-18,TF2,starved,pycno,nereo,20,1
011,2021-08-18,TF2,starved,pycno,nereo,25,1
011,2021-08-18,TF2,starved,pycno,nereo,30,1
011,2021-08-18,TF2,starved,pycno,nereo,35,1
011,2021-08-18,TF2,starved,pycno,nereo,40,1
011,2021-08-18,TF2,starved,pycno,nereo,45,1
011,2021-08-18,TF2,starved,pycno,nereo,50,1
011,2021-08-18,TF2,starved,pycno,nereo,55,1
011,2021-08-18,TF2,starved,pycno,nereo,60,1
012,2021-08-18,TF1,starved,control,control,5,0
012,2021-08-18,TF1,starved,control,control,10,0
012,2021-08-18,TF1,starved,control,control,15,0
012,2021-08-18,TF1,starved,control,control,20,0
012,2021-08-18,TF1,starved,control,control,25,0
012,2021-08-18,TF1,starved,control,control,30,0
012,2021-08-18,TF1,starved,control,control,35,0
012,2021-08-18,TF1,starved,control,control,40,0
012,2021-08-18,TF1,starved,control,control,45,0
012,2021-08-18,TF1,starved,control,control,50,0
012,2021-08-18,TF1,starved,control,control,55,0
012,2021-08-18,TF1,starved,control,control,60,0
013,2021-08-19,TF2,starved,control,control,5,0.4
013,2021-08-19,TF2,starved,control,control,10,0
013,2021-08-19,TF2,starved,control,control,15,0
013,2021-08-19,TF2,starved,control,control,20,0
013,2021-08-19,TF2,starved,control,control,25,0
013,2021-08-19,TF2,starved,control,control,30,0
013,2021-08-19,TF2,starved,control,control,35,0
013,2021-08-19,TF2,starved,control,control,40,0
013,2021-08-19,TF2,starved,control,control,45,0
013,2021-08-19,TF2,starved,control,control,50,0
013,2021-08-19,TF2,starved,control,control,55,0
013,2021-08-19,TF2,starved,control,control,60,0
014,2021-08-19,TF1,fed,control,nereo,5,0
014,2021-08-19,TF1,fed,control,nereo,10,0
014,2021-08-19,TF1,fed,control,nereo,15,0
